Open Time,Side,Price,Take Profit,Stop Loss,Size,Return,Outcome,Close Price,Close Time,Balance
2022-01-01 04:00:00,Short,46708.14,45712.02502652406,47372.21664898396,1518.1434363087458,-21.584206533262368,-,47372.21664898396,2022-01-01 05:00:00,1057.6202696331645
2022-01-01 06:30:00,Short,46979.62,45407.05117004484,48027.99921997011,947.874536717361,31.7284991370175,+,45407.05117004484,2022-01-05 19:30:00,1089.3415053050196
2022-01-06 20:30:00,Short,43221.5,42006.82602565821,44031.282649561195,1162.8545980098293,32.68009987463179,+,42006.82602565821,2022-01-07 03:30:00,1122.0119195450648
2022-01-08 02:30:00,Short,41882.85,40611.13253982354,42730.661640117636,1108.5730532786156,33.660214656859615,+,40611.13253982354,2022-01-08 18:00:00,1155.6626055691024
2022-01-09 00:00:00,Short,41474.37,39426.12586290217,42839.86609139856,702.0214675158272,-23.11319117550085,-,42839.86609139856,2022-01-11 16:30:00,1132.543320805482
2022-01-12 04:00:00,Long,42590.69,43321.88579611028,42103.22613592649,1979.0513735689938,33.97604870366006,+,43321.88579611028,2022-01-12 11:30:00,1166.5026414755157
2022-01-13 04:00:00,Long,43661.49,44511.9030068743,43094.54799541713,1796.7002975279636,-23.329904687038056,-,43094.54799541713,2022-01-13 15:30:00,1143.1579225412518
2022-01-14 07:30:00,Short,42660.01,41686.60722678767,43308.94518214156,1502.9891967408005,-22.863031616323397,-,43308.94518214156,2022-01-14 15:00:00,1120.2822074747644
2022-01-15 03:00:00,Long,43098.95,43923.368519043164,42549.33765397122,1756.983342703745,-22.405497390930783,-,42549.33765397122,2022-01-17 05:00:00,1097.862034227383
2022-01-18 23:30:00,Short,42352.12,41281.827371508654,43065.648418994235,1303.2917366510133,32.93569485390316,+,41281.827371508654,2022-01-19 07:00:00,1130.7866508867307
2022-01-19 15:30:00,Short,41981.27,40478.544091245814,42983.08727250279,947.7149377685408,-22.61565174878358,-,42983.08727250279,2022-01-20 14:30:00,1108.1628722428436
2022-01-23 02:00:00,Short,35161.91,33347.59378070655,36371.45414619564,644.2943534008391,-22.163191479735175,-,36371.45414619564,2022-01-23 23:00:00,1085.9930842509386
2022-01-24 00:30:00,Short,35840.29,34024.34843686335,37050.91770875777,643.0103457236485,32.57969564617294,+,34024.34843686335,2022-01-24 10:00:00,1118.5663211400965
2022-01-25 11:30:00,Short,36406.0,35039.0392582793,37317.30716114713,893.7167888852279,-22.37123804779671,-,37317.30716114713,2022-01-25 17:00:00,1096.1862455917778
2022-01-27 15:00:00,Short,36685.05,35197.9744227546,37676.4337181636,811.2630153607311,-21.923645300471925,-,37676.4337181636,2022-01-28 20:30:00,1074.2546391549429
2022-01-29 17:30:00,Long,37646.31,38703.88326214136,36941.26115857242,1147.2034499816825,32.227474619380324,+,38703.88326214136,2022-01-29 21:00:00,1106.4711434231256
2022-01-30 15:00:00,Long,37983.77,38842.89757257381,37411.018284950784,1467.5799065851704,-22.129283775169146,-,37411.018284950784,2022-01-30 20:00:00,1084.32795031862
2022-01-30 20:30:00,Long,37684.45,38627.462484814176,37055.77501012388,1299.949992775646,-21.686434821994652,-,37055.77501012388,2022-01-31 00:30:00,1062.6290970588507
2022-01-31 11:30:00,Short,37265.16,36621.888935206116,37694.00737652926,1846.7662618359022,-21.252403534361033,-,37694.00737652926,2022-01-31 15:00:00,1041.3588528428916
2022-02-01 11:30:00,Long,38425.06,39591.14690153967,37647.66873230688,1029.4501125735687,-20.82708060885215,-,37647.66873230688,2022-02-02 14:30:00,1020.522127433471
2022-02-03 09:00:00,Short,36913.49,36212.96294477843,37380.508036814375,1613.25817746808,-20.410285215146125,-,37380.508036814375,2022-02-03 23:30:00,1000.0961088659951
2022-02-04 01:30:00,Short,37168.6,36334.01614812147,37724.989234585686,1336.193079281151,-20.001792759072096,-,37724.989234585686,2022-02-04 06:00:00,980.0813742821423
2022-02-06 01:00:00,Long,41554.98,42349.1340614496,41025.5439590336,1538.5149009623851,29.40224130103162,+,42349.1340614496,2022-02-06 23:00:00,1009.4702870876639
2022-02-08 13:30:00,Long,43624.95,45298.779462486404,42509.06369167573,789.2935054793742,30.284010912003794,+,45298.779462486404,2022-02-10 15:00:00,1039.7477846245927
2022-02-12 19:30:00,Short,42662.47,41455.61373149646,43467.04084566903,1102.6551336750933,-20.794862646813037,-,43467.04084566903,2022-02-15 01:30:00,1018.9436174098978
2022-02-15 18:30:00,Long,44128.64,45060.0841839899,43507.6772106734,1448.2219175078333,-20.37875420272819,-,43507.6772106734,2022-02-16 14:30:00,998.5530486601928
2022-02-16 15:30:00,Long,43598.63,44533.53394037677,42975.36070641548,1397.0059283212247,-19.97094562046589,-,42975.36070641548,2022-02-17 09:00:00,978.5705677659305
2022-02-18 10:30:00,Short,40788.01,40058.25993803168,41274.51004131221,1640.8609543417383,29.356899796364665,+,40058.25993803168,2022-02-18 14:30:00,1007.9129851214121
2022-02-19 03:30:00,Short,40125.12,39357.88284307302,40636.611437951324,1581.3609564820838,30.237176735608053,+,39357.88284307302,2022-02-20 05:30:00,1038.135973988066
2022-02-20 20:00:00,Short,38273.93,37510.481053100215,38782.895964599855,1561.3438368178236,-20.76257262163067,-,38782.895964599855,2022-02-20 22:30:00,1017.3587155533703
2022-02-21 00:00:00,Short,38315.45,36770.53434214727,39345.393771901814,756.9453413145225,-20.34710319084753,-,39345.393771901814,2022-02-21 01:30:00,997.0045003405351
2022-02-21 03:30:00,Short,38919.25,37593.86611792048,39802.83925471968,878.2964978945711,29.91001314761365,+,37593.86611792048,2022-02-21 11:30:00,1026.9063893146551
2022-02-22 12:30:00,Short,37637.98,36458.77757781204,38424.11494812531,983.3090930524693,-20.538033734679942,-,38424.11494812531,2022-02-22 23:30:00,1006.3589504186592
2022-02-23 01:00:00,Short,38096.17,36915.822482608426,38883.06834492771,974.4186629263432,-20.127086928062052,-,38883.06834492771,2022-02-23 09:00:00,986.2226554594839
2022-02-24 17:00:00,Short,35898.7,34172.30446981931,37049.63035345379,615.2259541213818,-19.72439141298801,-,37049.63035345379,2022-02-24 19:30:00,966.492094426329
2022-02-25 09:30:00,Long,38674.22,40583.272570628906,37401.518286247396,587.3855198622042,-19.329787211590073,-,37401.518286247396,2022-02-27 20:00:00,947.156839521088
2022-02-28 09:30:00,Short,38105.83,36468.0807598963,39197.6628267358,661.1304702759475,-18.943074330958392,-,39197.6628267358,2022-02-28 14:30:00,928.2075192437928
2022-03-01 18:30:00,Long,43803.01,45856.194174389406,42434.220550407066,594.0765142455242,-18.564101560024522,-,42434.220550407066,2022-03-03 15:30:00,909.6385351986348
2022-03-04 12:00:00,Short,41394.5,39930.1414981409,42370.739001239395,771.4101218549104,27.2890554238785,+,39930.1414981409,2022-03-04 19:30:00,936.9208818171438
2022-03-05 13:00:00,Short,39012.82,37948.18447999185,39722.57701333877,1029.9842066971469,28.10748388818058,+,37948.18447999185,2022-03-07 02:00:00,965.0188612830752
2022-03-07 15:00:00,Short,38822.89,37425.82082129938,39754.26945246708,804.5017742291723,28.950453937766145,+,37425.82082129938,2022-03-07 19:30:00,993.9618551724337
2022-03-08 04:30:00,Short,38550.01,37089.72847108032,39523.53101927979,787.188744725059,-19.879163591678353,-,39523.53101927979,2022-03-09 03:00:00,974.0753404037232
2022-03-09 22:00:00,Long,41990.52,43132.038425821665,41229.50771611888,1074.9348185060053,-19.481414650002915,-,41229.50771611888,2022-03-10 01:30:00,954.5847099465653
2022-03-10 03:30:00,Long,40768.51,41839.69664957769,40054.385566948215,1089.9219937621554,-19.09159795506128,-,40054.385566948215,2022-03-10 04:30:00,935.4834876045015
2022-03-10 21:30:00,Short,39316.99,38056.109124302704,40157.57725046486,875.111891287213,-18.70958962380939,-,40157.57725046486,2022-03-11 11:30:00,916.7658851526281
